,birthday,annualpay,gender,education_type,wanted_annualpay,sort,annualpay
395,44.0,350.0,0.0,6.0,400.0,1.0,350.0
396,33.0,200.0,1.0,3.0,300.0,1.0,200.0
397,49.0,400.0,0.0,4.0,350.0,1.0,350.0
398,64.0,200.0,0.0,2.0,200.0,1.0,200.0
399,25.0,250.0,0.0,4.0,400.0,1.0,300.0
400,38.0,350.0,0.0,2.0,400.0,1.0,400.0
401,45.0,450.0,0.0,2.0,450.0,1.0,400.0
402,36.0,400.0,1.0,2.0,200.0,1.0,200.0
403,42.0,200.0,0.0,6.0,300.0,1.0,300.0
404,25.0,200.0,1.0,2.0,200.0,1.0,200.0
405,51.0,200.0,0.0,2.0,300.0,1.0,200.0
406,39.0,200.0,1.0,2.0,200.0,1.0,200.0
407,30.0,350.0,0.0,7.0,250.0,1.0,200.0
408,35.0,300.0,0.0,2.0,350.0,1.0,300.0
409,28.0,350.0,0.0,4.0,400.0,1.0,300.0
410,44.0,500.0,0.0,4.0,500.0,1.0,400.0
411,25.0,300.0,1.0,6.0,250.0,1.0,200.0
412,35.0,450.0,0.0,6.0,450.0,1.0,400.0
413,47.0,300.0,0.0,6.0,350.0,1.0,300.0
414,32.0,500.0,0.0,6.0,450.0,1.0,350.0
415,39.0,400.0,1.0,3.0,450.0,1.0,400.0
416,25.0,300.0,0.0,6.0,350.0,1.0,300.0
417,33.0,400.0,0.0,6.0,450.0,1.0,350.0
418,24.0,250.0,1.0,4.0,250.0,1.0,200.0
419,39.0,500.0,1.0,7.0,600.0,1.0,300.0
420,43.0,350.0,0.0,6.0,500.0,1.0,500.0
421,26.0,350.0,0.0,4.0,350.0,1.0,300.0
422,22.0,200.0,0.0,2.0,250.0,1.0,200.0
423,31.0,250.0,1.0,4.0,250.0,1.0,200.0
424,23.0,200.0,1.0,6.0,500.0,1.0,200.0
425,22.0,250.0,1.0,3.0,250.0,1.0,200.0
426,35.0,400.0,0.0,2.0,400.0,1.0,350.0
427,31.0,200.0,0.0,1.0,200.0,1.0,200.0
428,27.0,300.0,0.0,6.0,500.0,1.0,450.0
429,29.0,200.0,0.0,4.0,300.0,1.0,200.0
430,43.0,200.0,1.0,4.0,200.0,1.0,200.0
431,57.0,350.0,0.0,4.0,350.0,1.0,350.0
432,42.0,350.0,0.0,2.0,350.0,1.0,300.0
433,29.0,200.0,1.0,4.0,200.0,1.0,200.0
434,25.0,250.0,0.0,4.0,250.0,1.0,200.0
435,34.0,600.0,0.0,2.0,600.0,1.0,550.0
436,60.0,200.0,0.0,7.0,400.0,1.0,400.0
437,31.0,300.0,1.0,6.0,350.0,1.0,300.0
438,45.0,200.0,1.0,6.0,250.0,1.0,200.0
439,30.0,350.0,1.0,3.0,350.0,1.0,200.0
440,45.0,500.0,0.0,6.0,500.0,1.0,500.0
441,34.0,400.0,0.0,4.0,500.0,1.0,450.0
442,42.0,250.0,1.0,6.0,350.0,1.0,300.0
443,33.0,350.0,1.0,6.0,300.0,1.0,250.0
444,27.0,200.0,0.0,6.0,400.0,1.0,350.0
445,34.0,250.0,0.0,4.0,400.0,1.0,400.0
446,32.0,550.0,0.0,6.0,600.0,1.0,550.0
447,45.0,350.0,0.0,6.0,400.0,1.0,350.0
448,27.0,450.0,0.0,2.0,550.0,1.0,400.0
449,39.0,200.0,1.0,2.0,300.0,1.0,200.0
450,40.0,400.0,0.0,2.0,550.0,1.0,550.0
451,46.0,200.0,1.0,2.0,250.0,1.0,200.0
452,45.0,500.0,0.0,6.0,450.0,1.0,400.0
453,48.0,550.0,0.0,4.0,550.0,1.0,500.0
454,28.0,200.0,1.0,6.0,350.0,1.0,300.0
455,38.0,400.0,0.0,4.0,600.0,1.0,550.0
456,29.0,200.0,0.0,6.0,300.0,1.0,200.0
457,47.0,200.0,0.0,6.0,400.0,1.0,200.0
458,37.0,350.0,0.0,6.0,400.0,1.0,350.0
